"FK Name","Parent table","Parent field","Parent column_id","Referenced table","Referenced field","Referenced column_id","term_category"
"FK_PersonBiographicalInformation_SexId_To_DictionaryItem","PersonBiographicalInformation","SexId","2","DictionaryItem","Id","1",
"FK_PersonBiographicalInformation_MaritalStatusId_To_DictionaryItem","PersonBiographicalInformation","MaritalStatusId","17","DictionaryItem","Id","1",
"FK_PersonCustomField_Person","PersonCustomField","PersonId","2","Person","Id","1",
"FK_PersonCustomField_FieldMetadata","PersonCustomField","FieldMetadataId","3","FieldMetadata","Id","1",
"FK_PersonImage_To_Person","PersonImage","PersonId","2","Person","Id","1",
"FK_PersonImage_To_Image","PersonImage","ImageId","3","ImageObject","Id","1",
"FK_PersonUrl_To_Person","PersonUrl","PersonId","2","Person","Id","1",
"FK_PersonUrl_To_Url","PersonUrl","UrlId","3","Url","Id","1",
"FK_Pledge_CampaignActivityId_To_CampaignActivity","Pledge","CampaignActivityId","2","CampaignActivity","Id","1",
"FK_Pledge_RecievedFromId_To_Contact","Pledge","RecievedFromId","3","Contact","Id","1",
"FK_Pledge_SolicitorId_To_DictionaryItem","Pledge","SolicitorId","7","DictionaryItem","Id","1",
"FK_Pledge_FundId_To_Fund","Pledge","FundId","12","Fund","Id","1",
"FK_PledgePaymentScheduleItem_PledgeId_To_Pledge","PledgePaymentScheduleItem","PledgeId","2","Pledge","Id","1",
"FK_SearchQueryParameter_To_SearchQuery","PublicSiteSearchQueryParameter","SearchQueryId","2","PublicSiteSearchQuery","Id","1",
"FK_AdvancedSearchCategory_SectionId_To_AdvancedSearch","PublicSiteSettingsAdvancedSearchCategory","AdvancedSearchSectionId","2","PublicSiteSettingsAdvancedSearch","Id","1",
"FK_PublicSiteSettingsAttachment_AttachmentId_To_Attachment","PublicSiteSettingsAttachment","AttachmentId","3","Attachment","Id","1",
"FK_CategoryMapping_To_Category","PublicSiteSettingsCategoryMapping","CategoryId","2","PublicSiteSettingsAdvancedSearchCategory","Id","1",
"FK_CategoryMappingCustomPublicField_To_CustomPublicField","PublicSiteSettingsCategoryMappingCustomPublicField","CustomPublicFieldId","1","PublicSiteSettingsCustomPublicField","Id","1",
"FK_CategoryMappingCustomPublicField_To_CategoryMapping","PublicSiteSettingsCategoryMappingCustomPublicField","CategoryMappingId","2","PublicSiteSettingsCategoryMapping","Id","1",
"FK_CategoryMappingPublicField_To_PublicField","PublicSiteSettingsCategoryMappingPublicField","PublicFieldId","1","PublicSiteSettingsPublicField","Id","1",
"FK_CategoryMappingPublicField_To_CategoryMapping","PublicSiteSettingsCategoryMappingPublicField","CategoryMappingId","2","PublicSiteSettingsCategoryMapping","Id","1",
"FK_PublicSiteSettingsCustomPublicField_FieldMetadata","PublicSiteSettingsCustomPublicField","FieldMetadataId","4","FieldMetadata","Id","1",
"FK_PublicField_To_ColumnMetadataId","PublicSiteSettingsPublicField","ColumnMetadataId","4","ColumnMetadata","Id","1",
"FK_PublicSiteSettingsSortOptions_ColumnMetadata","PublicSiteSettingsSortOptions","ColumnMetadataId","3","ColumnMetadata","Id","1",
"FK_Site_To_Dictionary","Site","CountryId","21","DictionaryItem","Id","1",
"FK_SiteArcheologyDetails_To_Sites","SiteArcheologyDetails","Id","1","Site","Id","1",
"FK_ProjectNameId_To_Dictionary","SiteArcheologyDetails","ProjectNameId","2","DictionaryItem","Id","1",
"FK_ProjectTypeId_To_Dictionary","SiteArcheologyDetails","ProjectTypeId","3","DictionaryItem","Id","1",
"FK_InvestigatorAffiliation_To_Dictionary","SiteArcheologyDetails","InvestigatorAffiliationId","5","DictionaryItem","Id","1",
"FK_ElectronicCatalogStatus_To_Dictionary","SiteArcheologyDetails","ElectronicCatalogStatusId","9","DictionaryItem","Id","1",
"FK_RehousingStatus_To_Dictionary","SiteArcheologyDetails","RehousingStatusId","11","DictionaryItem","Id","1",
"FK_ControllingAgency_To_Dictionary","SiteArcheologyDetails","ControllingAgencyId","12","DictionaryItem","Id","1",
"FK_SiteAttachments_To_Sites","SiteAttachments","SiteId","2","Site","Id","1",
"FK_SiteAttachments_To_Attachments","SiteAttachments","AttachmentId","3","Attachment","Id","1",
"FK_SiteCustomField_Site","SiteCustomField","SiteId","2","Site","Id","1",
"FK_SiteCustomField_FieldMetadata","SiteCustomField","FieldMetadataId","3","FieldMetadata","Id","1",
"FK_SiteImages_To_Site","SiteImages","SiteId","2","Site","Id","1",
"FK_SiteImages_To_Image","SiteImages","ImageId","3","ImageObject","Id","1",
"FK_SiteMappingOptions_To_Sites","SiteMappingOptions","Id","1","Site","Id","1",
"FK_SiteUrls_To_Sites","SiteUrls","SiteId","2","Site","Id","1",
"FK_SiteUrls_To_Urls","SiteUrls","UrlId","3","Url","Id","1",
"FK_SubClassification_To_Classification","SubClassification","ClassificationId","3","Classification","Id","1",
"FK_TempLocationMoveInfo_CatalogItemId_To_CatalogItem","TempLocationMoveInfo","CatalogItemId","1","CatalogItemLocation","CatalogItemId","1",
"FK_TempLocationMoveInfo_MoveAuthorizedById_To_DictionaryItem","TempLocationMoveInfo","MoveAuthorizedById","6","DictionaryItem","Id","1",
"FK_TempLocationMoveInfo_MovedById_To_DictionaryItem","TempLocationMoveInfo","MovedById","7","DictionaryItem","Id","1",
"FK_Url_UserAddedId","Url","UserAddedId","3","User","UserId","1",
"FK_User_UserRole","User","UserRoleId","7","UserRole","Id","1",
"FK_UserActionLog_To_User","UserActionLog","UserId","2","User","UserId","1",
"FK_UserLoginLog_To_Users","UserAuthenticationLog","UserId","2","User","UserId","1",
"FK_UserDefaultView_ViewId_To_DataView","UserDefaultView","ViewId","3","DataView","Id","1",
"FK_UserDefaultView_OwnerId_To_User","UserDefaultView","OwnerId","4","User","UserId","1",
"FK_UserRoleDictionary_UserRole","UserRoleDictionary","UserRoleId","2","UserRole","Id","1",
"FK_UserRoleDictionary_DictionaryItem","UserRoleDictionary","DictionaryItemId","3","DictionaryItem","Id","1",
"FK_UserRoleRestriction_UserRole","UserRoleRestriction","UserRoleId","1","UserRole","Id","1",
